ids,time,tweet_text,tag
1.39e+18,30-04-2021 21:16,Brilliant Delighted for you Hope the sun shines Best of luck ,1
1.39e+18,30-04-2021 21:11,Its different in the light white and silver Quite pleased X,1
1.39e+18,30-04-2021 20:46,Sold I am happy when it narrives,1
1.38806e+18,30-04-2021 09:21,I know the feeling when your best companion is diagnosed with such illness I lost my dog a few years ago to kidney failure as well Im not trying to scare or disappoint you but you have to be ready for the worse to come Ill still continue to pray and hope hell survive,0
1.38808e+18,30-04-2021 10:28,for personal reasons and to protect my mental health and heart ill be logging off early today and u guys probably know why lt goodnight ,0
1.38807e+18,30-04-2021 10:14,Coming Off Today Like and share Join Us on Zoom for this info packed webinar with Prof Akwasi Osei and other mental health expertsMentalHealthMatters Webinar mentalhealth,0
1.38807e+18,30-04-2021 10:07,If I ever have kids I will deffo move out of Europe There are really  values here and kids get exposed to so many immoral things it gives me anxiety just to think about it,0
1.3881e+18,30-04-2021 12:07,I thought I wasnt upset about this But nahhhhhh I am Sooooo I took myself out for dinner and drinks the other night This extra persistent nigga hit my line and asked could he join I reluctantly said yes this why you should follow your gut,0
1.39e+18,30-04-2021 09:27,I like to pretend he is not a musty  year old man and hes only mentally aged quickly because something something his dad is functionally immortal so maybe hes not really an old man I like to call this hc blissful ignorance,0
1.39e+18,30-04-2021 20:46,my serotonin levels are now through the roof i am so happy to find another MAPPA anime god fucking bless,1
1.38809e+18,30-04-2021 11:28,Its a very sad royal sbi AU fic on ao u should check it out c,0
1.39e+18,30-04-2021 20:46,Wishing a good Happy Birthday ,1
1.38807e+18,30-04-2021 09:57,A statistic that puts the banter which has so affected a professional footballer at a Coatbridge team he says he is giving up football almost one person a day dies of suicide in his local authority area,0
1.38808e+18,30-04-2021 10:21,Hoping can get this out more on our live streams to get more people interested If you wish to check it out please do they do a fantastic job on all designs and Im also aiming to get some They do not disappoint one but link below egn,1
1.39e+18,30-04-2021 21:15,his heart warms at her words hes pleased she trusts him so i wouldnt ever let you down nezuko at leastnot on purpose well have the best day i promise,1
1.38807e+18,30-04-2021 10:06,Idk why but this place always trigger my anxiety,0
1.39e+18,30-04-2021 13:04,Sending you virtual hugs ,1
1.39e+18,30-04-2021 21:52,I dont think my father the inventor of that one weird towel hotels put on the side of the bath tub thats only purpose is to get soaking wet would be too pleased to hear about this,0
1.38807e+18,30-04-2021 10:12,I learned recently that cognitive therapy for people with anxiety actually makes it worse because reopening old wounds without first doing everything to lessen the physiological reaction to those wounds make the trauma worse,0
1.39e+18,30-04-2021 20:15,This problematic Universities shouldnt be pressure cookers Life has already cooked many Black students and we dont need any more cooking We just want a socially responsive curricular live amp study in a conducive environment be merry,1
1.39e+18,30-04-2021 18:56,i want more but whew Im satisfied enough with it,1
1.39e+18,30-04-2021 21:12,Whoa That Is Amazing Im so happy and pleased for you As you know I thought your book was excellent and should be read in schools Congratulations ,1
1.38807e+18,30-04-2021 09:39,DONT is soooo beautiful  namjoons voice is truly therapeutic it feels like a warm hug a comfort a safe place and the lyrics it never disappoint what a way to end this month with this song SO MUCH HEALING,1
1.38807e+18,30-04-2021 09:56,Sometimes I still go to my old Twitter account and its so boring What was that account for Politics Too much anger and depression there Not good for me Even though there are so many assholes and lots of cringe CT is the best,0
1.39e+18,30-04-2021 20:43,Mission accomplished matejust Pleased for you and the club much rather have Dick and his boys staying up for definite rather than Morton ,0
1.39e+18,30-04-2021 21:05,Christ your easily pleased,1
1.38809e+18,30-04-2021 11:30,Present ruling party at the centre has failed miserably in providing proper medical to the COVID pandemic sufferers amp in a way responsible for not being able to tackle the pandemicextremely sad that we have lost huge human life without any war khera,0
1.38807e+18,30-04-2021 09:38,Namjoon never disappoint us to bring poetic ang wonderful lines its as if youre reading a poem I love his mind,0
1.39e+18,30-04-2021 17:21,I think it is against rules to be overly obsessive about Merry Christmas Happy Holidays but hate on Its Gonna be MAY,0
1.38807e+18,30-04-2021 09:45,it doesnt solve the anxiety and it doesnt help my diet but at least now i can be anxious while eating cake so Id call it a win,0
1.38807e+18,30-04-2021 09:58,please check on us Arsenal fans we are in need of your support Depression is real Only me Dey support Arsenal con come from Nigeria again Arsenal AFC EuropaLeague VILARS COYG,1
1.38809e+18,30-04-2021 11:27,Very sad news,0
1.38808e+18,30-04-2021 10:33,Hospital visits mental health support election news and more in this weeks Equality News Digest Have a read of all the headlines from Fife and beyond at equalfife,1
1.39e+18,30-04-2021 17:30,Whoa today we have  already  a few hours ago it was just   Should I wait for more merries to fill out the Merrygoround around the World Maybe  ,1
1.39e+18,30-04-2021 20:45,HAPPY BIRTHDATT,0
1.39e+18,30-04-2021 20:45,Body to body massage with happy ending in Riyadh ,1
1.38809e+18,30-04-2021 11:22,Very sad indeed My heartfelt condolences to his family but he was a blot on journalism,0
1.39e+18,30-04-2021 22:48,I feel so honored and special I cant believe we made it to  followers Thank each and everyone of you so very much I am glad it is my couch you wanna hang out on I love each of you so freaking much You are such beautiful souls ,0
1.39e+18,30-04-2021 03:32,wishing you a blissful day filled with calm breeze passing your air under the bright sun to lighten your positive vibes out enjoy your day TGIF take your meal as your booster today,1
1.39e+18,30-04-2021 05:12, AM was unaware children were awake Suddenly I hear the strident cheerful voice of my three year old son shouting Im dying Im dying Im dying on the cross Hahaha Weird,0
1.38809e+18,30-04-2021 11:25,so sad,0
1.39e+18,30-04-2021 18:27,The cheerful feeling of hopelessness with the fake news ,0
1.38809e+18,30-04-2021 11:26,as we grow older we become more sad,0
1.39e+18,30-04-2021 09:05,Aww Peter that sounds absolutely blissful take care and have the best time Sadly due to many reasons especially not being able to drive its a weekend at home for me Hoping time off here will help me even for a few days xxx,1
1.39e+18,30-04-2021 06:00,This was fab Would you also consider online teaching staging tips Lighting was perfect backdrop was effective particularly the lit items on the shelving as was the cheerful engaging presenter presentation I did media training ages ago and it was very drab Times change,0
1.39e+18,30-04-2021 22:41,Went  for  with a home run against lower Moreland glad to be back at hitting practice with my travel team too for some extra reps,0
1.39e+18,30-04-2021 19:33,Best Facts and figures dispute that but you do you,0
1.39e+18,30-04-2021 18:55,Come and buy ,1
1.39e+18,30-04-2021 20:45,I think they end up in a situation where they both want to feel chosen by the other and certainly it could end if either one of them committed Its just that Hannibal got spooked and denied Will any option to commit when they were still happy together,0
1.38796e+18,30-04-2021 02:26,its just so hurtful when you talk so highly about someone you thought would stay ends up disappointing you,0
1.38807e+18,30-04-2021 10:06,She recently said this one here and everyone was pissed Shes been escaping with her problematic views Even had people mad because she was talking sideways about women with postpartum depression,0
1.38806e+18,30-04-2021 09:32,another hard work that really paid off thanks my girls im obsessed with the new versionampmusic video u girls never disappoint  confettimusicvideo,0
1.39e+18,30-04-2021 05:07,Quote of the Day People seldom refuse help if one offers it in the right way A C Benson,0
1.39e+18,30-04-2021 20:28,i spent whole day on it and the only thing im satisfied with is the bg i feel like ive wasted so much timee why do i keep lying to myslelf that i can draw quickly o,0
1.39e+18,30-04-2021 18:48,I remember when requiring seatbelts made us communist,0
1.39e+18,30-04-2021 18:24,Brittany Higgins must be aware of where he is what is going on and satisfied with the process because if she wasnt we wld hear about it,0
1.39e+18,30-04-2021 20:53,I love how they have filmed each of the scenes in this series and the lights and all the collaborators and those who give the maximum for each episode and the time you dedicate so that the viewer is satisfied,1
1.39e+18,30-04-2021 19:13,Stay safe and cheerful Peter Cycling is hard and so is the weather sometimes but youre brave and strong We all admire you,1
1.38808e+18,30-04-2021 10:53,Nana Addo to lose the next elections without stress,0
1.38808e+18,30-04-2021 10:38,OH I love those colouring apps They are totally a stim for me too I do find colouring by hand very soothing too But I can draw and I used to be drawing literally the time But my mental health has destroyed my muse massively Ive had no motivation at all,0
1.3881e+18,30-04-2021 11:44,Someone sent me an anonymous message about how theyve seen female teachers cry at the school over the article how theyre so upset their students have been tarred with the same brush as historic students firstly let me say Im sure those that are crying are probably not who,0
1.39e+18,30-04-2021 13:26,Youre most welcome Do have a lovely and a blissful Birthday thanks,1
1.38809e+18,30-04-2021 11:21,How sad We will never understand this,1
1.38808e+18,30-04-2021 10:28,In KL i can focus on my mental health my physical healthy In KL it is all about me or maybe  about me I think i look older when i start living in jb Im carrying a problems that are not mine to begin with If its mine at least i can try to solve it,0
1.39e+18,30-04-2021 22:52,Good one dork Not a boomer dumbass Im glad you can insult Go ask your mommy if you can upstairs and watch the draft it starts soon  ,0
1.39e+18,30-04-2021 08:09,I remember when my sv called me to talk about my fypb sebab internet coverage tak ok Then we talk la blabla Bila nak end call i frickin forgot i was talking with a lecturer Dr cakap byeeee in a cheerful voice and me balas hmm jak pastu terus end call Till now i malu,1
1.39e+18,30-04-2021 20:01,LOL Youre really on thin ice here considering how viciously Trump amp MAGATs attack anyone not toeing the party line Like Romney Liz Cheney etc Look how Trump destroyed Jeff Sessions after Sessions had helped him so much because Sessions wouldnt cheat for him,0
1.39e+18,30-04-2021 22:42,Thats unfortunate I will say glad UofA has epidemiology professionals We were worried for awhile You may interact with the community more than we do We are empty nesters and not that social Our condo complex has a mix of people There arent a lot of blacks anywhere,0
1.39e+18,30-04-2021 20:45,Happy Birthday and Pokemon Snap day to me Sad I missed the stream and my chance for a Pat birthday shout out,0
1.39e+18,30-04-2021 22:52,This thread makes me so sad Im also a horrible social person and barely use Twitter LOL and dont realize I wasnt following you Glad I am now because this tweet was sooo good So so soooo excited for you,0
1.38805e+18,30-04-2021 08:21,Problem depression anxiety stress lda lasun ect Solution namo namo ,0
1.38809e+18,30-04-2021 11:07,We don dey hype the song for weeks now and you no disappoint Make your girl put something for Belle too they say na wetin bird chop e dey take fly  Bernard peace chioma Access bank Thanks alot ,0
1.39e+18,30-04-2021 22:09,Seafood craving satisfied I couldnt even stand up,1
1.39e+18,30-04-2021 21:46,shes high she lives in the sky tonight shes satisfied rolling back her eyes,1
1.38807e+18,30-04-2021 09:49,Feel so shit Ive been ground down for  odd years of my life with no ability to stand up for myself and today despite my severe anxiety I had say no more Dont know if Im proud of myself or what,0
1.39e+18,30-04-2021 22:49,Donovan looks like Danny for real from GreaseIm so glad I decided to watch the movie so I know whos who The Jackets are ,1
1.38807e+18,30-04-2021 10:03,Thirteen years in this site and all its given me is anxiety,0
1.39e+18,30-04-2021 20:35,Im delighted to hear you like this piece Truly gladdens my heart Thank you very much Seymour,1
1.39e+18,30-04-2021 22:27,update pleased to report that pillowfort meets both criteria nobody is using it and u can post as many dicks as u want if you want to see some of the weird nsfw stuff i draw on the side its at i will not be keeping this post up for long lol,0
1.38796e+18,30-04-2021 02:29,people need to stop using pathological liar as an insult it is a very serious condition and as a pathological liar myself its really hurtful to see my mutuals throw it around like its some kind of joke please just say liar and leave us out of your drama,0
1.3881e+18,30-04-2021 12:10,If its not that serious then OP can just ignore it Right  dont get upset when you get opposition on an opinion Especially when the stance theyve taken isnt canon If you dont want a response dont post lmao,0
1.39e+18,30-04-2021 22:49,Hi How are you my friend The association launched a new campaign please see it We are glad that you share it and donate to those in need,1
1.39e+18,30-04-2021 17:16,People ask me why Im so cheerful all the time Its because I think of s fart jokes every moment of the day ,0
1.38791e+18,29-04-2021 23:33,fanning flames or picking sides or being intentionally hurtful Its not like Dom liked a Trump post showing the fat bastard doing the Nazi salute He liked a post about a fictional pairing Whats going down now is just silly IMO and unnecessary Its just a show people,0
1.39e+18,30-04-2021 22:16,Even among ourselves he is the one most inclined to go at his own pace He always lives in his own little world If that Kanata were to tell us his inner thoughts then Id be pleased as well,1
1.39e+18,30-04-2021 20:27,Who create the profits that feed the share holders and partners But instead you think its fine and good that they literally pay employees less than the value they create for the company and instead give that value to the investor who brings no labor value in Lost cause you are,1
1.38809e+18,30-04-2021 11:32,I be using bro g and fam when im upset with mfs Lmao,0
1.39e+18,30-04-2021 21:02,Been following you for years through Jeff Blankforts sadly missed show These arent progressives selfproclaimed or otherwise and I dont think Jeff would be satisfied with AOC either,0
1.39e+18,30-04-2021 20:30,Of course theres a lot of mediocrity and nonsense in the medium as well but so far with the few VNs Ive experienced Ive been really satisfied and content,0
1.39e+18,30-04-2021 18:26,Cheerful amiable n genial But hardly interacts ,0
1.39e+18,30-04-2021 18:55,In  Corinthians  Paul tells the Corinthians that I betrothed you to one husband to present you as a pure virgin to Christ ESV and in  Corinthians  he states that he who is joined to the Lord becomes one spirit with him ESV,1
1.3881e+18,30-04-2021 12:07,Jailed Michigan Dem warned officers Big Gretch might be upset by no mask for his booking photo reportThis is absurd Democrats are truly the enemy,0
1.39e+18,30-04-2021 22:54,So glad to hear that thank you for being on this journey with us,1
1.38809e+18,30-04-2021 11:23,I know an amazing moot named Sabrina with an S Hard to see her sad wish her a lifetime of happiness If I could I would take her sadness away Give her what she needs to make her smile stay I pray to God to bring back her cheer Keep her haters away and her loved ones near,0
1.39e+18,30-04-2021 19:36,I will not be satisfied with my strength til Im at  pounds,1
1.39e+18,30-04-2021 19:41,i am only looking at myself so this why most of the time i am satisfied and in progress most not all the time fact appreciate and injoy avrything bcz evantually it ENDS lt,0
1.38807e+18,30-04-2021 10:02,So I figured it out Im traumatised by this education systemdidnt even touch my books for the past  days my mental health was significantly better starting rearranging my books today even touching them gave me severe anxiety which turned into a full blown panic attackwtf,0
1.39e+18,30-04-2021 22:45,Im glad my grand children can still go especially in a low infected area They need it Terrible effects from last year,0
1.38808e+18,30-04-2021 10:43,A month on from golf returning in England has the increased traffic led to considerable stress or wear on your turf Turf TurfStress,0
1.39e+18,30-04-2021 20:53,We keep growing We are pleased to introduce you to Rafael Silva Velazquez who joins the Altra Legal team Welcome Rafael AltraLegal BusinessExperts,1
1.38794e+18,30-04-2021 01:12,i am so mad because this is it right this is how part of society treats men who are accused of domestic violence they are invited to speak out abt abuse like nothing happened this is so hurtful they truly do not care abt the victims,0
1.39e+18,30-04-2021 22:40,Glad to hear it Woulda sucked to have spent that money Good call in your case,0
1.39e+18,30-04-2021 19:00,nope it was trump,1
1.39e+18,30-04-2021 20:44,So very happy for you,1
1.39e+18,30-04-2021 22:41,What a shitter glad youre banned,1
1.38808e+18,30-04-2021 10:39,We have your back and anyone else doing work to support the improvement of mental health in South tees Great to see and wish every success Its a great sounding set of activities will certainly pop down and say hello to one or them ,1
1.38806e+18,30-04-2021 09:19,u never disappoint to comfort me joon eAeonFragileNow RM  DontOutNow TurnOnTheMoonRM,0
1.39e+18,30-04-2021 09:34,Youre most welcome Do have a lovely and a blissful Birthday thanks,1
1.39e+18,30-04-2021 21:53,Hi Im really pleased to see youre supporting the PCCPledge to defend my right to protest,1
1.39e+18,30-04-2021 19:25,I try to remain ignorant of most things whenever possible its pretty blissful,0
1.39e+18,30-04-2021 05:43,handy,1
1.38809e+18,30-04-2021 11:22,you wont be sad if you didnt gave them away,0
1.38807e+18,30-04-2021 10:09,I empathize with you that the breakthrough isnt here yet and youre depressed but as sure as Gods mercies are is how sure trying times will come After the open door comes and another issues rises will you then go back to depression again ,0
1.39e+18,30-04-2021 20:05,Im just convinced people are never satisfied and atp ol fucking well,1
1.39e+18,30-04-2021 18:43,ye honestly if it was halo  graphics but a good game and everything i wouldnt care i would be satisfied,1
1.39e+18,30-04-2021 22:39,hmm weird but shes glad hes here,0
1.38808e+18,30-04-2021 10:22,seeing people on my facebook become mental health coordinators but they used to bully every single girl who wasnt caked in orange foundation the girls who wouldnt laugh at their stupid outbursts to impress the teacher NO ONE is going to talk to you about their mental health,0
1.39e+18,30-04-2021 19:03,so you mom wasnt proud of you,1
1.38806e+18,30-04-2021 09:33,Hmmm thats a logical way of thinking I didnt think of that Maybe they will do that I need to know now nevermind next week Cant take tbis stress and anxiety anymore,0
1.39e+18,30-04-2021 19:23,wan justice  We are not satisfied with the Decision of education department sir we need your help If necessary arrange online exam This is our appeal From West Bengal cancelthboardexams,1
1.39e+18,30-04-2021 21:54, the Tories will be delighted,1
1.39e+18,30-04-2021 22:55,Hahaha glad you got it done ,1
1.38808e+18,30-04-2021 10:36,I legit appreciate it so much Always got to let them know its appreciated too Could get them through a long day sometimes Difficult customers are just added stress,0
1.38806e+18,30-04-2021 09:33,eAeon and joon really dont disappoint their voices match so well tgt Dont just gives me all the feels on this rainy evening  Fragile really hits all the spots for me congrats eAeon eAeonFragileNow RM  DontOutNow TurnOnTheMoonRM,0
1.38809e+18,30-04-2021 11:11,Worth it no kain and hurtful home work out,0
1.39e+18,30-04-2021 10:35,Lets get wet Whether you are a pro or are totally new to the game lubricants are exactly what you need to indulge in blissful backdoor play Learn More here SouthAfrica loveyourself matildasadultshop selflove LubeLife BACKDOOR,0
1.38809e+18,30-04-2021 11:22,youre sad dude,0
1.38806e+18,30-04-2021 09:06,If I could remove any emotion from humankind apart from depression and anxiety I would remove nostalgia Fuck nostalgia you do not need it,0
1.39e+18,30-04-2021 20:17,Some of it depends on your location Im in WA amp was surprised to have difficulty finding a Dr No problem in CA I moved here just when Id gone on Medicare amp thought I was smartI have RegularG with a supplemental amp a drug plan VERY satisfied  yrs,0
1.39e+18,30-04-2021 19:55,Which opens the door for those merry penthouse hoaxers to step up and say she made me do it AmberFBI TruthMatters,1
1.39e+18,30-04-2021 15:00,So if God loves a cheerful giver what are you,1
1.38796e+18,30-04-2021 02:27,My ween works just fine Greg I just think being rude and hurtful towards couples who need to do things like IVF isnt a good look,0
1.39e+18,30-04-2021 20:46,Happy birthday ,1
1.39e+18,30-04-2021 22:39,Glad you got the point,0
1.39e+18,30-04-2021 20:44,Seriously  and for putting everything behind a paywall and not allowing us fans to enjoy European soccer I hope yall are happy,1
1.39e+18,30-04-2021 14:39,Im driving to AZ in half hour so will miss most of the next  hours so Ill stay in blissful ignorance of whats on here Id probably be able to guess  of what is argued about though,0
1.39e+18,30-04-2021 17:05,Pippin I wasnt that drunk There is no way I would be that drunk that easily Merry You called yourself ugly Pippin Pippin Oh my god,0
1.39e+18,30-04-2021 20:44,happy sweet seventeen ya wyatb,1
1.38809e+18,30-04-2021 11:27,So your hot take is that our elected representatives shouldnt be upset when the Cabinet lies to them lies to the public undermines democracy and undermines the Tweede Kamer Sounds like youd be a lot happier in a calm oneparty state I recommend you try Russia or China ,0
1.38807e+18,30-04-2021 10:05,their voices match so well it makes me emotional reading the lyrics while listening to the song watching the mv it makes me miss a feeling i may not have felt before as expected they never disappoint thank u for this masterpiece,0
1.39e+18,30-04-2021 17:12,While youre all being merry quaffing your mead and flagons of ale my nerves are as frayed as the rope around a monks waist,1
1.38807e+18,30-04-2021 09:48,After Love Island contestants committing suicide after the show they decide to go ahead with THIS,0
1.38795e+18,30-04-2021 01:52,just bc you made a joke doesnt mean it wasnt perhaps hurtful,0
1.38809e+18,30-04-2021 11:14,Is your ass thicc or pancake flat show us your ass bitch  I I wouldnt say its thicc but its not exactly flat either I dont know Im kinda chunky I guess Also uhh Im sorry to disappoint but youre not gettin,0
1.38807e+18,30-04-2021 09:54,Suicide is illegal,0
1.38808e+18,30-04-2021 10:26,He could be having a social anxiety disorder,0
1.39e+18,30-04-2021 17:27,We wish you a Merry Christmas We wish you a Merry Christmas We wish you a Merry Christmas and a Happy New Year,1
1.39e+18,30-04-2021 22:54,Thank you for being a big part of my life I love you so much Youre gorgeous and i am so glad to know you Hope your birthday and other days in your life will be as amazing as you Happy birthday the best singer in the world,1
1.38806e+18,30-04-2021 09:12,i know yrrr obviously we are unknown of someone but jo bhi hai joooo Bhi zindgi ko kaisy koii gawa skta hai bhaar mn gaye  lac lac zndgii hai to hazaron degree mil jayngi yuh are right but m just badly hurt with his suicide ,0
1.39e+18,30-04-2021 22:42,My two favorite states Glad they help each other out we are the UNITED states after all,1
1.39e+18,30-04-2021 20:10,Shes never satisfied How many husbands has she had Only one to put up wit her was Marc,0
1.3881e+18,30-04-2021 11:39,Yet you see his sideline to sideline speed and still people are upset at this pick Ridiculous,0
1.3881e+18,30-04-2021 11:55,There has been a lot of msm propaganda some of their footage from previous disaster they have also had some reactions to injection and this has really upset the Indias people,0
1.38806e+18,30-04-2021 09:27,tHE ANXIETY DOE,0
1.38805e+18,30-04-2021 08:28,The Inability to Feel Pleasure Is Depressions Hardest Symptom The Mighty,0
1.39e+18,30-04-2021 21:38,Another customer satisfied quickly on cam at AdultWorkcom Im available for you now,0
1.38807e+18,30-04-2021 09:53,im not good at knowing the right things to say its not a simple thing to do trying to sleep knowing you just have another day to drag yourself through living with depression from my own experience wont eve be something that goes away There will be good days and,1
1.38809e+18,30-04-2021 11:35,Yep shes little upset since I been pet sitting my aunts cat she doesnt get along with any other animals,0
1.38807e+18,30-04-2021 09:42,Heyy sweety just wanna ask what did you do to dealing with a hard time in your life Cuz lately i feel like so h  Tw mentions of depression self harm suicidal thoughts,0
1.39e+18,30-04-2021 22:35,GOBBO PLEASED U NO GET STABBO,0
1.39e+18,30-04-2021 22:56,Im glad I never did this,1
1.39e+18,30-04-2021 19:36,Im so satisfied w my body rn ,0
1.39e+18,30-04-2021 22:00,BroncosCountry is mostly pleased with the Patrick Surtain II pick last night At least according to our latest survey Broncos NFLDraft,0
1.38809e+18,30-04-2021 11:08,The moment I realized i have made it was when I managed to finish paying off my late parents tombstones during the pandemic after I was retrenched and I still managed to study through the stress I jusstress I made it  CapricornItCanBe,0
1.38808e+18,30-04-2021 10:20,were all in this together every Indian plus the fact that we were respecting our frontline warriors Look at this from the point of mental health People didnt know what was going to happen they were anxious scared about the future These solidarity exercises amp show of,0
1.39e+18,30-04-2021 13:59,Fridays are fun days Wishing you a lovely and cheerful LabourDay weekend ahead TGIF,0
1.38809e+18,30-04-2021 11:27,heheh obviously  but fr the ending was sad it is like till death do us apart vibe thank you for the story maru chan we were having celebration bcs of todays tmap but i guess it doesnt stop you from writing angst ,0
1.38807e+18,30-04-2021 10:07,What lies do you tell to urself Me i dont like cake ice cream chocolate I dont eat sweets which is am really not eating sweets Also my inner me is craving those MentalHealthMatters MentalHealthAwareness mentalhealth anxiety,0
1.38808e+18,30-04-2021 10:20,Mental Health Awareness Week hosted by is from th May to th May and the theme is Nature If you want to get involved in the project that we will be doing to raise awareness during the week get in touch with us via DM,1
1.39e+18,30-04-2021 10:25,Introducing the  moods of Richie the Raptor Naughty Mischievous Cheerful  Have you met him Which mood did you get  raptor dinosaur moodswings,1
1.39e+18,30-04-2021 20:39,Absolutely delighted to announce we are heading back on tour for  I know its a bit away yet but thats life Well be visiting Belfast Roscommon Navan Cork Limerick Derry Sligo Dundalk and of course Galway Get your tickets here fasht,1
1.38807e+18,30-04-2021 09:46,My anxiety these past few days feels like this,0
1.38806e+18,30-04-2021 09:23,So burnt out I was going to make this long drawnout post about how my emotions and depression were not allowing me to enjoy my two days off and how I dont think I will ever get over Bailey being gone But Im just so tired of everything that dont even feel like venting,0
1.39e+18,30-04-2021 20:46,Its Happy Hour people Weekend Time for Rocknroll amp Famous Women Heres CARMEN ELECTRA,1
1.39e+18,30-04-2021 22:47,im glad somebody got the joke ,1
1.39e+18,30-04-2021 09:27,Share the conversation you had with her in the DM thats after changing your handle twice,0
1.38809e+18,30-04-2021 11:24,Suggest some sad story please,0
1.39e+18,30-04-2021 19:58,they are on their merry way to becoming Twitch affiliates and theyre SO close  please support them with your views it would mean the world to them ,0
1.38809e+18,30-04-2021 11:25,We are so sad to hear the news of our friends closure on this mornings show We are sending them the best of luck for the future,1
1.3881e+18,30-04-2021 12:08,They dont thats why people are upset,0
1.39e+18,30-04-2021 22:03,Delighted that A Christmas Drop will be available on the RTE Player during May from Sat st at am,1
1.38809e+18,30-04-2021 11:28,So sad news Rip,0
1.39e+18,30-04-2021 05:43,true super nostalgic feels,1
1.39e+18,30-04-2021 20:46,advertising Im happy,1
1.3881e+18,30-04-2021 11:45,Such an incoherent rant I almost cant get upset cause its like she tried to hate me but got distracted halfway through,0
1.39e+18,30-04-2021 21:27,Our condo is having lots of moveouts daily A few moveins Told of a proposal next door to tear down existing building and put storey building with twnhs Not pleased to hear this,0
1.38809e+18,30-04-2021 11:27,That is so sad That our QBs are so bad that foles is part of a competition not talking about Fields,0
1.39e+18,30-04-2021 22:39,i hope you at pleased at this,1
1.39e+18,30-04-2021 12:14,Thank you for your cheerful reply,1
1.39e+18,30-04-2021 18:39,God rest ye merry gentlemen in my ass,1
1.38807e+18,30-04-2021 10:00,Stuck stalled or need to supercharge your research Suffering archives anxiety Dont know where to start Dont panic are here for you Book a tailored onehour onetoone with the Research Support team and get the help you need,0
1.39e+18,30-04-2021 15:32,Hello  She shoots her a cheerful smile Its a pleasure to meet you Sariel is it Thank you for the lovely compliment ,1
1.38809e+18,30-04-2021 11:23,thats sad anyways drink ur water amp also eat ur meal bestie MWA and get rest too ,0
1.39e+18,30-04-2021 22:51,Im glad youre there too ,0
1.38789e+18,29-04-2021 21:50,Till what extent can you break a stone The most you can do is crush it into granules Similarly till what extent can you be hurtful One day itll not affect you You will surely be in a better place Just give it some time ,0
1.39e+18,30-04-2021 18:56,The collar is unclasped a surge of energy released amp Jack is like a satisfied kitten as he licks his wound Gabe lays back amp tries to think of how to fix this as Jack leaps from the curtains slamming into the Devil an Erinyes fury unleashed as he tears the Devil into ribbons,0
1.38807e+18,30-04-2021 10:07,JOB OPPORTUNITY Youth Involvement CoLead Institute for Mental Health  Grade  FTE Great opportunity to lead involvement of young people in the IMH Pls share,1
1.38807e+18,30-04-2021 09:38,NAMJOON VERSE IS SO BEAUTIFUL AND ALSO HURTFUL,0
1.38806e+18,30-04-2021 09:24, I am trying to but anxiety being poor and my H is in scorpio ,0
1.39e+18,30-04-2021 06:38,Waking up hangoverfree on Day  is blissful I highly recommend it ODAAT soberlife RecoveryPosse,1
1.38809e+18,30-04-2021 11:23,Thats a pretty sad attempt ,0
